"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000100764",2.31059305672716,0.594908885836348,1.63469898411126,0.363925647240664,0.715913532248376,0.827347993324789
"ENSMUSG00000100480",3.65654907647207,1.17051692791392,1.71886430605799,0.680982741795572,0.495882410712263,0.649422532141347
"ENSMUSG00000100025",0.66601382542222,1.84444754723934,2.21475429724978,0.832800076076036,0.404957491834383,NA
"ENSMUSG00000039748",123.138331824614,0.958333679412609,0.438605631323308,2.18495525586673,0.0288921274499916,0.0734736640477494
"ENSMUSG00000057363",556.790438819333,-0.200375583229805,0.189582315616732,-1.05693182709559,0.290542701728031,0.447108802596774
"ENSMUSG00000100701",0.828754740652958,1.49090720068108,1.9835789807122,0.75162482320002,0.452276711032985,NA
"ENSMUSG00000100555",1.4116229237708,1.88291041958192,2.45595466762244,0.766671488038794,0.443276859772306,NA
"ENSMUSG00000038702",70.3567044669365,0.450874842273409,0.356716966060426,1.26395682059326,0.206245525581399,0.347484085968606
"ENSMUSG00000101875",0.694961747010972,2.10789512822653,2.34385382380128,0.89932874943879,0.368477578337842,NA
"ENSMUSG00000078184",2.64269457691566,-0.682167549486193,1.31531454515574,-0.518634536505808,0.604015620362078,0.740799966004496
"ENSMUSG00000061024",471.403150252674,0.780561208294847,0.211130376781937,3.69705780945506,0.00021811268709979,0.0010398012837131
"ENSMUSG00000025911",52.4069762994896,2.51826327685851,0.748745530377778,3.36330992932662,0.000770138488128278,0.00320271332008525
"ENSMUSG00000081441",1.03841941675909,3.62141648915384,2.97090758998711,1.21895965440297,0.222859505988625,NA
"ENSMUSG00000057335",2175.54318889977,-0.368486968897861,0.180789360532702,-2.03821158397873,0.0415287775176425,0.0987696299189022
"ENSMUSG00000103634",2.0099266861912,-2.84952989228057,2.56279198361989,-1.11188497173917,0.266187611040278,0.419371850345536
"ENSMUSG00000104154",4.09560345180046,0.361677118219574,1.20514006056821,0.300112103193257,0.764091647476177,0.863573078230102
"ENSMUSG00000025912",46.8964045889023,1.2826765912795,0.71773136585475,1.78712628749609,0.0739170796444929,0.157521015432623
"ENSMUSG00000045210",2213.40852102215,0.409981400008818,0.11337274794336,3.61622530498812,0.000298930217665217,0.00137635247079714
"ENSMUSG00000041763",2250.26353514739,0.453710360681175,0.118731289978319,3.82132090676372,0.000132738792360219,0.000670139176672917
"ENSMUSG00000026504",492.421469492646,0.42267515462124,0.138761446947402,3.04605611947429,0.00231864553961828,0.0084646019832998
"ENSMUSG00000103367",22.8350264825122,-0.917689913331439,0.903593330311784,-1.01560058330089,0.309819626992402,0.46812037821735
"ENSMUSG00000102475",0.722707476537756,2.61028302285214,3.91099697737695,0.667421385889901,0.50450300932337,NA
"ENSMUSG00000047343",0.812723622831339,1.94151200734352,3.92649131087821,0.494464867899906,0.620977911904738,NA
