"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000028906",417404.152968597,-6.36089084197586,0.306722658130182,-20.7382489469563,1.565204061081e-95,1.01801718188958e-92
"ENSMUSG00000075184",3466.39584038429,-7.31802409302172,0.356270623404338,-20.5406329129651,9.33383425066602e-94,5.91101898005994e-91
"ENSMUSG00000022051",107301.951020394,-5.51483533559698,0.270927525642473,-20.3553895918076,4.15931205731968e-92,2.50234611648495e-89
"ENSMUSG00000023572",53548.9692413815,-5.22764191801899,0.256857459063371,-20.3523072177135,4.42928681718411e-92,2.5997752989155e-89
"ENSMUSG00000028328",5024.00061143721,-7.31944531700657,0.359762975605026,-20.3451878412369,5.12155023983969e-92,2.93452634575576e-89
"ENSMUSG00000026532",12635.1232322395,-8.40489051279243,0.413690431019639,-20.3168598608302,9.1228357752957e-92,4.98956915755662e-89
"ENSMUSG00000053137",622.352558426551,-2.83400949065391,0.140489679425933,-20.1723678367991,1.71240474333098e-90,8.95848264092608e-88
"ENSMUSG00000042331",34064.4297754092,-6.39540397897736,0.317360162533208,-20.1518802105735,2.59084462235955e-90,1.32656757100176e-87
"ENSMUSG00000032554",4942.87835606068,-4.86233201585804,0.241536546711421,-20.1308335407618,3.96272641914184e-90,1.98672940159684e-87
"ENSMUSG00000120302",1468.14709463346,-8.4274156806574,0.426315695043824,-19.7680164690889,5.61401428606303e-87,2.64904419204131e-84
"ENSMUSG00000018677",131711.25942371,-6.25389732936163,0.32479964861813,-19.2546308346362,1.29091470157136e-82,5.75293746172495e-80
"ENSMUSG00000026399",3079.36208894095,-4.43923072169773,0.230676143749746,-19.2444292224416,1.57185181228207e-82,6.87756615683054e-80
"ENSMUSG00000025270",1721256.52248716,-7.28669900120283,0.379369876706342,-19.2073737231468,3.21104646391171e-82,1.37988987775063e-79
"ENSMUSG00000038871",597087.081485577,-6.86445915027673,0.358922565778054,-19.1251813198101,1.55830635419804e-81,6.57906007259224e-79
"ENSMUSG00000059895",22554.366399044,-5.20731605060946,0.272969125569926,-19.0765751977892,3.95329783587427e-81,1.64027780035025e-78
"ENSMUSG00000023216",8039.81456252864,-8.07927634129771,0.424247281302245,-19.0437904905319,7.39750929604378e-81,2.96701768682156e-78
"ENSMUSG00000034248",81293.9912877247,-5.28289644505717,0.277578499686012,-19.0320808385124,9.25054700124379e-81,3.64941661614642e-78
"ENSMUSG00000017466",2764.90365009214,-3.37846342896877,0.177667839679163,-19.0156160792504,1.26640406445217e-80,4.91548609855507e-78
"ENSMUSG00000024158",21229.6051263744,-6.00470358590724,0.31743697601572,-18.9162071201494,8.38777836188334e-80,3.20399819490036e-77
"ENSMUSG00000123422",550.173577598948,-8.50018897108741,0.450150881851502,-18.8829774944026,1.57454365216967e-79,5.9205301546036e-77
"ENSMUSG00000047139",79879.0183109287,-5.93349947779427,0.315156092880812,-18.8271767921626,4.52236490456821e-79,1.67431863736052e-76
"ENSMUSG00000121029",480.032489529129,-5.83327201269689,0.311147655097927,-18.7476007519999,2.02523941849115e-78,7.38445251605902e-76
"ENSMUSG00000006574",80386.3759870689,-8.49205890222216,0.453313572014398,-18.7332994785173,2.64973349060858e-78,9.37732888992581e-76
"ENSMUSG00000032204",924.912744785132,-3.62487815022246,0.193825155398171,-18.7017941132355,4.78667463557686e-78,1.66943949427764e-75
"ENSMUSG00000034449",18357.4633961356,-6.24159340015885,0.334852085346553,-18.6398522610339,1.52661830112837e-77,5.24829563095061e-75
"ENSMUSG00000022885",2679.90815326259,-4.03017251817464,0.216665112250175,-18.6009296850762,3.15783619232116e-77,1.07032856293252e-74
"ENSMUSG00000085971",406.430038975489,-8.94498201720942,0.481915167593737,-18.561320785716,6.60604054600985e-77,2.20797730194065e-74
"ENSMUSG00000040270",1400.07204235568,-4.30022409107572,0.232384685732647,-18.5047653958705,1.89000019611077e-76,6.14633171883861e-74
"ENSMUSG00000029922",224510.307800016,-5.57062483292497,0.305356584138428,-18.2430152886424,2.35122704755807e-74,7.16231378474492e-72
"ENSMUSG00000096917",1630.9583001929,-5.37017221034446,0.297362276403881,-18.0593593622166,6.65909151677314e-73,1.95428094330665e-70
