"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000100764",2.31059305672716,-1.23005699812665,1.84502668554894,-0.66668791717811,0.504971498323024,0.648086184436227
"ENSMUSG00000100480",3.65654907647207,3.74317597829888,2.25638433897774,1.65892659049155,0.0971305857228731,0.197336221648032
"ENSMUSG00000100025",0.66601382542222,-0.133661304210184,2.67631798925622,-0.0499422358429575,0.960168419943357,NA
"ENSMUSG00000039748",123.138331824614,1.24983439880982,0.51230483534455,2.4396302993495,0.0147022995044925,0.0450026504166386
"ENSMUSG00000057363",556.790438819333,0.328639456078337,0.217181717419938,1.51320037424185,0.130228769214767,0.24576186724854
"ENSMUSG00000100701",0.828754740652958,0.548645518336379,2.44435624348823,0.224453992660838,0.822404062143823,NA
"ENSMUSG00000100555",1.4116229237708,-2.66831674886311,2.76068664904668,-0.966540968995713,0.333773556795376,NA
"ENSMUSG00000038702",70.3567044669365,-1.09063107015446,0.403796975371337,-2.70093917655401,0.00691439821058618,0.024319642346939
"ENSMUSG00000101875",0.694961747010972,-2.37129624277878,2.66713512354397,-0.889079905193521,0.37396013767056,NA
"ENSMUSG00000078184",2.64269457691566,0.754149820955659,1.53953071144881,0.489856951438109,0.624235127083688,0.745667543595203
"ENSMUSG00000061024",471.403150252674,-0.344844494168335,0.24162882536327,-1.42716620688731,0.153531992550851,0.277196143801954
"ENSMUSG00000025911",52.4069762994896,-2.67566949092777,0.84530571651734,-3.16532757160514,0.00154908445900279,0.00704169201093733
"ENSMUSG00000081441",1.03841941675909,-1.64363704935015,3.48188290660504,-0.472054084941287,0.636888184443356,NA
"ENSMUSG00000057335",2175.54318889977,0.0548461009253581,0.205987623486788,0.266259205271504,0.790039588842041,0.86876429726216
"ENSMUSG00000103634",2.0099266861912,1.7773282843803,2.91348803651191,0.610034522917812,0.541838938812448,NA
"ENSMUSG00000104154",4.09560345180046,-0.761308010413365,1.37118360461553,-0.555219598491941,0.578744465205401,0.709526397114379
"ENSMUSG00000025912",46.8964045889023,0.403660542384518,0.829957331239368,0.486363005893008,0.626709814794436,0.747555173094515
"ENSMUSG00000045210",2213.40852102215,-0.180807667998081,0.129533094736417,-1.39584149028479,0.162762233123105,0.289324356633737
"ENSMUSG00000041763",2250.26353514739,0.260883033218537,0.136006057997452,1.91817215394497,0.0550891858306885,0.127874237113334
"ENSMUSG00000026504",492.421469492646,-0.176256980531022,0.159630990974946,-1.10415264263244,0.269526928727164,0.417304609137181
"ENSMUSG00000103367",22.8350264825122,0.65640085921995,1.03339964674017,0.635185875368304,0.525307194217971,0.665798579494153
"ENSMUSG00000102475",0.722707476537756,-2.62940199977231,4.4519325567079,-0.59062035785122,0.554774821356843,NA
"ENSMUSG00000047343",0.812723622831339,-2.69023663759498,4.44930024378629,-0.604642638210818,0.545416469456734,NA
"ENSMUSG00000102211",6.76198840852431,-2.10395436373166,1.61656036396036,-1.30150064955029,0.193087142324063,0.327505080351605
"ENSMUSG00000103251",2.29465258869395,-1.44423380802934,2.68847478785802,-0.537194477163014,0.591133285772078,0.719847309083344
"ENSMUSG00000091844",22.9414609536997,-1.59125798600289,1.0650971149991,-1.49400271918324,0.135174908558824,0.252835704528843
"ENSMUSG00000026483",2886.88720948918,1.21133351634846,0.160340393274034,7.55476203852261,4.19626335463169e-14,1.69150883801025e-12
"ENSMUSG00000019699",1906.56471870319,-0.115103376780089,0.182271501816817,-0.63149409333209,0.527717510117345,0.668220041093076
"ENSMUSG00000104391",9.44003844833521,-4.52917027688967,1.58897730789031,-2.85036812948767,NA,NA
"ENSMUSG00000102133",0.646315600868082,2.6125324553615,4.48346881490651,0.582703385083314,0.560092994048623,NA
"ENSMUSG00000102749",1.39381571596818,4.37450419489105,4.44380278763541,0.984405565220586,0.324916142823062,NA
"ENSMUSG00000103163",1.32035326527716,0.067778341771342,3.96176727402832,0.0171081078425955,0.986350370736736,NA
"ENSMUSG00000103646",2.70507205524496,-4.59383235559173,2.2760617218905,-2.01832503548106,0.0435574210043877,0.106742294956272
"ENSMUSG00000102427",1.51489969415697,-2.80757909642177,2.68991227077979,-1.04374374098374,0.296603966701074,NA
"ENSMUSG00000063659",1745.24769727986,-0.95678167094553,0.181107817169883,-5.28293966487402,1.27127268943714e-07,1.80909859225995e-06
"ENSMUSG00000026049",128.029845935005,-0.195234828228925,0.427887189154569,-0.4562764045698,0.648191229112495,0.763894315797854
"ENSMUSG00000043019",1049.81358206019,-0.202236907562388,0.158419533542107,-1.27659072742209,0.201746777223277,0.337765144975522
"ENSMUSG00000032666",388.742405632971,0.319297453405229,0.25322758841444,1.26091100659482,0.207340912194382,0.344780199831246
"ENSMUSG00000015961",1664.3184467919,-0.0123580517132552,0.112913283372159,-0.109447279754707,0.912847735131734,0.952424918532199
"ENSMUSG00000014980",142.933388964727,-0.949303962866917,0.303534651819643,-3.12749782331601,0.00176301125336324,0.00787286431846102
"ENSMUSG00000026235",49.8859830939879,-3.68140942569898,1.0665214251406,-3.45179134607037,0.000556878184312155,0.00295377419119947
"ENSMUSG00000032649",9.86493490914964,-6.54685042126779,1.7963151108253,-3.64460020506085,NA,NA
"ENSMUSG00000026047",150.871762074246,-0.216318480972626,0.284318435538566,-0.760831708161549,0.446757592784666,0.595272768416089
"ENSMUSG00000091476",4.06346432722366,-1.88599780034381,3.00586814340558,-0.627438633488099,0.530371750127349,0.670592978869051
"ENSMUSG00000104097",0.884247884932402,-2.62941020891241,4.45193087022845,-0.590622425540377,0.554773435631844,NA
"ENSMUSG00000041684",174.576155911443,-0.0974879907484424,0.315163314039128,-0.309325312959297,0.757074077563748,0.844642735416029
"ENSMUSG00000026048",517.994715209177,0.424474343330122,0.279557290532451,1.51838051700121,0.128918500323985,0.244048465341133
"ENSMUSG00000101567",19.0640095216396,0.256798412890355,0.860464710414294,0.298441539533576,0.76536618874388,0.850897964156032
"ENSMUSG00000026245",879.298401044234,-0.660583543595515,0.232298519260496,-2.84368383276153,0.00445952754083141,0.0170319838549608
"ENSMUSG00000104018",3.6000702890851,1.00544256943485,1.92184567762959,0.523165091317301,0.6008593719118,0.727885544811914
"ENSMUSG00000026482",1016.03553130986,0.0587698420826633,0.179852507578227,0.326766876225518,0.743844214252244,0.834916558581168
"ENSMUSG00000080950",6.73246966076738,1.65991939671537,1.20323053871712,1.37955224980009,0.167724548178297,0.295621784399846
"ENSMUSG00000012187",1.02138230319024,0,4.54310551147157,0,1,NA
"ENSMUSG00000008475",11670.0596806485,0.695690422731991,0.102933755168971,6.75862278209883,1.3930956619268e-11,3.9027761471791e-10
"ENSMUSG00000056870",10.3917603540099,-7.23111912163818,1.44027656342287,-5.0206462461995,5.14979248063312e-07,6.4546747940852e-06
"ENSMUSG00000026495",149.3283393897,-0.45477429067668,0.421207581775403,-1.07969160659405,0.28027953278941,0.429257745597731
"ENSMUSG00000032883",150.634975799147,-0.673230946216943,0.309118311189835,-2.17790704027074,0.0294129582647307,0.0782384039616166
"ENSMUSG00000026480",8911.60959269437,1.56856150627208,0.158001116907057,9.92753429201879,3.15972158904064e-23,3.39458482322602e-21
"ENSMUSG00000026494",9.72805140919348,-0.621706000248469,1.52814527523683,-0.40683697441797,0.684127728401366,0.791934859010961
"ENSMUSG00000025915",1554.64994383588,-0.23102581079662,0.24047410562832,-0.96070972046236,0.336698142343669,0.487817025617121
"ENSMUSG00000079470",106.157957941904,-0.388543364188743,0.315329726563836,-1.23218121051485,0.217881400484285,0.357490686756278
"ENSMUSG00000099377",4.38737314165833,-0.0348540260678227,1.28641456540564,-0.0270939299080715,0.978384816216648,0.99202960319599
"ENSMUSG00000047330",1.14893706690269,2.67173430877649,4.48121644699573,0.596207378147882,0.55103669729189,NA
"ENSMUSG00000072978",6.8512842978613,0.709265257775754,1.18359220723061,0.599247995587355,0.549007521278689,0.686509015306399
"ENSMUSG00000046334",12.386293954541,0.827826079049463,0.830865719680051,0.996341598216667,0.319084198628728,0.469792672988703
"ENSMUSG00000050711",8.22033147384435,14.607167038271,4.54229189535731,3.21581425737987,NA,NA
"ENSMUSG00000055067",211.104372694165,0.000214950052689295,0.243088049047843,0.000884247718187867,0.999294472489674,1
"ENSMUSG00000054702",430.428761527085,-0.895188036622135,0.257391910566634,-3.47791830229407,0.00050532391524932,0.0027186720367706
"ENSMUSG00000096474",52.0874766087165,-0.466427738858862,0.505893398443944,-0.921988190186959,0.356534735824529,0.508253287026575
"ENSMUSG00000102235",4.24164311426239,0.405784444700768,1.86404667093881,0.217690067006959,0.827670603471758,0.895910987430185
"ENSMUSG00000026492",438.108498988057,-0.0711581166893858,0.219837471340073,-0.323685112713606,0.746176442923511,0.836609238624275
"ENSMUSG00000038949",3679.16772936474,1.57254957622484,0.322231545298966,4.88018506929801,1.05986335095887e-06,1.21716370149213e-05
"ENSMUSG00000026043",411.626548551742,-3.21818074159487,0.823293470715745,-3.90891080284784,9.27131852473299e-05,0.000630622612486431
